epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1075,1.00277,2.33917,0.57675,0.94129,0.78047,0.57376,0.65746,0.41306,0.71787,0.41711,0.50084,0.24712,1.17577,2.95698,0.68809,1.01156,0.0004754,0.0004754,0.0004754
79,1088.57,1.00886,2.32627,0.57958,0.9385,0.79473,0.57516,0.65943,0.41641,0.70265,0.44694,0.51984,0.25668,1.16989,2.95498,0.67844,1.01096,0.0004556,0.0004556,0.0004556
80,1103.04,1.00295,2.3143,0.57514,0.94154,0.78469,0.56934,0.65365,0.41244,0.70505,0.44077,0.51539,0.25368,1.18132,2.96726,0.68288,1.01352,0.0004358,0.0004358,0.0004358
81,1116.25,1.00191,2.33478,0.57744,0.93771,0.79225,0.57088,0.65993,0.41882,0.66931,0.46747,0.52688,0.26185,1.17135,2.94992,0.67226,1.00677,0.000416,0.000416,0.000416
82,1129.67,0.99339,2.30823,0.57062,0.93535,0.78493,0.56166,0.64693,0.40902,0.67348,0.4476,0.50968,0.251,1.17248,2.96341,0.68589,1.01268,0.0003962,0.0003962,0.0003962
83,1142.87,0.99641,2.30661,0.56897,0.93646,0.79115,0.57591,0.65857,0.41568,0.71214,0.44623,0.51997,0.25778,1.16925,2.93666,0.68307,1.00963,0.0003764,0.0003764,0.0003764
84,1156.15,0.99617,2.29878,0.57018,0.9371,0.81075,0.56856,0.65892,0.41872,0.68169,0.44761,0.51472,0.25551,1.16827,2.94951,0.67051,1.01067,0.0003566,0.0003566,0.0003566
85,1169.58,0.99309,2.29351,0.56936,0.93762,0.7737,0.57819,0.65755,0.41377,0.71073,0.44198,0.51996,0.2551,1.17369,2.96409,0.68737,1.00861,0.0003368,0.0003368,0.0003368
86,1182.73,0.99495,2.2918,0.57064,0.93764,0.78822,0.57485,0.65904,0.41794,0.69613,0.45654,0.52684,0.25938,1.16228,2.93678,0.67327,1.00342,0.000317,0.000317,0.000317
87,1196.71,0.98574,2.27714,0.56477,0.93674,0.80291,0.57156,0.6639,0.41979,0.69452,0.44578,0.51643,0.25569,1.16295,2.93125,0.66526,1.0054,0.0002972,0.0002972,0.0002972
88,1210.49,0.99688,2.28547,0.56621,0.93484,0.79262,0.57303,0.66287,0.41736,0.68581,0.44497,0.51604,0.25187,1.18183,2.99174,0.67277,1.0139,0.0002774,0.0002774,0.0002774
89,1223.92,0.99488,2.29428,0.56558,0.93621,0.78906,0.58137,0.66528,0.41968,0.68464,0.45837,0.52741,0.26024,1.17495,2.95992,0.66494,1.01109,0.0002576,0.0002576,0.0002576
90,1236.95,0.9847,2.25243,0.56183,0.93438,0.78814,0.57667,0.66008,0.41932,0.67596,0.44896,0.51595,0.25606,1.16254,2.96511,0.66751,1.00741,0.0002378,0.0002378,0.0002378
91,1259.31,1.01376,2.36741,0.58637,0.94268,0.78795,0.56985,0.65255,0.41003,0.67517,0.44562,0.50964,0.24743,1.19449,3.05613,0.69028,1.02143,0.000218,0.000218,0.000218
92,1273.97,0.97822,2.29039,0.55535,0.92788,0.7937,0.57182,0.65859,0.41479,0.6844,0.4378,0.50894,0.25061,1.17926,2.96811,0.67306,1.01184,0.0001982,0.0001982,0.0001982
93,1287.88,0.98451,2.28412,0.5527,0.92947,0.79294,0.57607,0.66441,0.41904,0.68532,0.4575,0.5218,0.25659,1.16841,2.95696,0.66498,1.00878,0.0001784,0.0001784,0.0001784
94,1299.96,0.96918,2.27194,0.54483,0.92787,0.78762,0.57758,0.66201,0.41782,0.68459,0.45078,0.51737,0.25721,1.16555,2.9854,0.66372,1.00948,0.0001586,0.0001586,0.0001586
95,1311.9,0.9726,2.26437,0.54551,0.93051,0.79834,0.57243,0.66188,0.41833,0.68389,0.45745,0.52148,0.25817,1.1634,2.97986,0.66112,1.00842,0.0001388,0.0001388,0.0001388
96,1324.04,0.97436,2.27346,0.54609,0.92796,0.79215,0.57516,0.66278,0.41982,0.70242,0.44426,0.52036,0.25758,1.15929,2.96568,0.66011,1.00672,0.000119,0.000119,0.000119
97,1336.82,0.97213,2.26135,0.54437,0.92592,0.79393,0.57325,0.66044,0.41874,0.7091,0.44638,0.52334,0.25835,1.16115,2.98933,0.66164,1.00643,9.92e-05,9.92e-05,9.92e-05
98,1349.72,0.96815,2.2508,0.54199,0.92611,0.78847,0.57546,0.66076,0.4179,0.70207,0.44805,0.52217,0.25773,1.16724,2.99845,0.6651,1.01114,7.94e-05,7.94e-05,7.94e-05
99,1362.11,0.96328,2.23365,0.5381,0.92415,0.79345,0.57182,0.65866,0.41837,0.68594,0.45852,0.52407,0.25824,1.1653,2.99709,0.66268,1.01001,5.96e-05,5.96e-05,5.96e-05
100,1374.96,0.96205,2.25074,0.53887,0.92677,0.78234,0.57834,0.6612,0.41767,0.69542,0.45412,0.52333,0.25741,1.1636,2.98042,0.66358,1.01051,3.98e-05,3.98e-05,3.98e-05
